,Suburb/Town Name,lat,lng,Closest Hospital,Closest Cinema,Distance to CBD,Number of hospitals,Number of cinemas
0,Abbeyard,-37.01414,146.78255,51.29053434,35.71223241,183.6397043,0,0
1,Abbotsford,-37.80387,145.00358,1.06144324,1.257938604,3.755416395,0,0
2,Aberfeldie,-37.75987,144.89813,1.610794413,1.699848718,8.110423676,0,0
3,Aberfeldy,-37.70209,146.37834,46.89243234,56.38108429,125.0963818,0,0
4,Acheron,-37.27053,145.70407,8.572023113,42.06122929,88.92766666,0,0
5,Ada,-37.84073,145.84959,22.19354269,36.42770006,78.00204944,0,0
6,Adams Estate,-38.42467,145.53247,20.76716714,36.26075236,84.40535702,0,0
7,Addington,-37.3937,143.66662,21.94590677,25.0526455,123.2622387,0,0
8,Adelaide Lead,-37.08527,143.6666,7.766754112,7.636689962,140.0607338,0,0
9,Agnes,-38.6852,146.38866,16.11571023,45.17377007,157.9076787,0,0
10,Aireys Inlet,-38.43789,144.09745,23.71932817,15.50293821,102.7598678,0,0
11,Airly,-38.02921,147.09942,8.991232643,9.278376161,189.0105835,0,0
12,Airport West,-37.72265,144.87818,2.940105633,1.27677511,12.41241763,0,1
13,Albacutya,-35.73721,141.95934,68.75073556,110.9301661,353.1988233,0,0
14,Albanvale,-37.74599,144.76819,1.016146979,5.285423173,18.58010084,0,0
15,Albert Park,-37.84562,144.96136,1.582819083,2.411518319,3.69861947,0,0
16,Alberton,-38.61624,146.6427,7.274619141,46.13257088,171.8836737,0,0
17,Alberton West,-38.60079,146.58058,9.792614614,42.58674107,166.3733569,0,0
18,Albion,-37.776,144.81662,1.661119922,1.449366685,13.41628165,0,0
19,Alexandra,-37.19658,145.74174,2.184900869,34.95088092,97.03989476,1,0
20,Alfredton,-37.55517,143.80089,3.184770995,4.099874723,106.120382,0,0
21,Allambee,-38.29093,146.01846,15.32447121,16.25017998,106.7018484,0,0
22,Allambee Reserve,-38.30285,146.04636,17.77310586,18.62943595,109.4735684,0,0
23,Allambee South,-38.35345,146.0948,19.48548318,18.86745919,115.9573784,0,0
24,Allans Flat,-36.2973,146.93783,8.393482669,47.78202632,243.1283579,0,0
25,Allansford,-38.4039,142.61924,12.77951539,12.22642377,215.2807368,0,0
26,Allendale,-37.36315,143.91314,20.7365122,22.45460308,105.0682411,0,0
27,Allestree,-38.27318,141.65715,8.818545679,67.24002858,293.912937,0,0
28,Alma,-37.0234,143.67824,5.819972208,6.101669814,143.3643202,0,0
29,Almonds,-36.23227,146.072,25.15403221,26.4436493,201.4334269,0,0
